Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
15-Feb-24,EQ,747.7,764,741.65,743.4,760.4,761.7,754.14,764,501.55,"3,39,41,282","25,59,65,07,159.35","8,63,114"
16-Feb-24,EQ,763.45,774.6,753.35,761.7,757.35,754.7,763.14,774.6,501.55,"2,73,65,121","20,88,33,78,535.90","5,19,358"
19-Feb-24,EQ,758.7,765,750,754.7,759.65,759.25,758.61,774.6,501.55,"1,39,79,584","10,60,50,31,489.65","2,53,774"
20-Feb-24,EQ,759.05,763.5,754,759.25,760.65,760.1,759.33,774.6,501.55,"1,25,28,399","9,51,31,87,763.75","2,60,985"
21-Feb-24,EQ,760.65,777.5,759.6,760.1,772.05,771.5,770.65,777.5,501.55,"2,14,65,311","16,54,22,28,829.40","4,41,746"
22-Feb-24,EQ,773,773,757,771.5,766.95,765.9,764.01,777.5,501.55,"1,87,99,244","14,36,28,48,260.80","3,72,278"
23-Feb-24,EQ,765.9,770.5,755,765.9,760.35,759.05,761.81,777.5,501.55,"1,41,43,636","10,77,48,10,691.75","4,79,997"
26-Feb-24,EQ,755,766.35,752.7,759.05,758.4,758.9,759.32,777.5,501.55,"1,13,55,186","8,62,22,14,664.70","2,80,156"
27-Feb-24,EQ,758.9,762.35,742.2,758.9,749.5,749.85,751.69,777.5,501.55,"1,39,69,393","10,50,06,29,239.15","3,15,352"
28-Feb-24,EQ,749.85,756.75,741,749.85,743,742.5,747.76,777.5,501.55,"1,12,63,318","8,42,22,54,972.85","2,83,338"
29-Feb-24,EQ,743.9,753.9,737.15,742.5,753,748.1,745.74,777.5,501.55,"1,92,17,113","14,33,08,98,842.35","3,89,495"
01-Mar-24,EQ,752,772,751.95,748.1,770,769.15,763.2,777.5,501.55,"1,73,48,526","13,24,04,13,220.45","3,09,262"
02-Mar-24,EQ,771.95,777,768.9,769.15,773.7,773.3,774.03,777.5,501.55,"11,58,960","89,70,65,444.75","27,382"
04-Mar-24,EQ,774.4,777,769,773.3,771.35,772.05,772.72,777.5,501.55,"97,89,141","7,56,42,84,699.60","1,97,362"
05-Mar-24,EQ,769.5,786.95,769.1,772.05,784.6,783.95,782.2,786.95,501.55,"1,80,88,847","14,14,91,13,322.65","4,04,509"
06-Mar-24,EQ,783.65,790.3,772.9,783.95,783.7,783.9,783.81,790.3,501.55,"2,67,10,525","20,93,60,92,585.05","5,03,262"
07-Mar-24,EQ,790,793.4,783,783.9,786,788.05,788.54,793.4,501.55,"1,54,97,868","12,22,07,05,592.60","2,19,629"
11-Mar-24,EQ,790,792.8,770.55,788.05,773.95,773.7,778.59,793.4,501.55,"1,67,78,340","13,06,34,54,668.35","3,87,291"
12-Mar-24,EQ,770,777.75,757.35,773.7,759,759.7,764.67,793.4,501.55,"2,15,29,705","16,46,30,45,923.05","3,90,497"
13-Mar-24,EQ,758.65,763.7,743,759.7,747.4,747.25,751.85,793.4,501.55,"2,79,50,252","21,01,43,17,799.65","4,62,302"
14-Mar-24,EQ,749.9,750.8,734.05,747.25,741,741.05,743.03,793.4,501.55,"1,97,30,882","14,66,06,90,669.70","3,04,735"
15-Mar-24,EQ,739.25,746.55,723,741.05,732.65,731.9,731.27,793.4,501.55,"2,97,92,241","21,78,60,99,985.35","3,82,516"
18-Mar-24,EQ,727.1,737.9,722.1,731.9,732.45,730.95,729.81,793.4,501.55,"1,81,45,126","13,24,25,20,782.95","2,66,091"
19-Mar-24,EQ,730,734.35,721.15,730.95,722.55,723.8,727.47,793.4,501.55,"1,52,05,043","11,06,12,61,059.95","2,03,852"
20-Mar-24,EQ,725.15,738.95,719.8,723.8,736.6,736.25,731.17,793.4,501.55,"2,54,05,455","18,57,56,65,608.10","4,11,626"
